id;allow_affinity;allow_campaign;code;effective_date;expiration_date;locked;name;product_code;virtual_product_type
1;false;true;Brand Incredible;2022-03-27;2022-03-27;false;blockchains;Guyana;OPEN
2;false;true;Hampshire Tuna;2022-03-27;2022-03-28;false;Fantastic override viral;Forest optimize;GENERAL_AGREEMENT
3;true;false;Hat Architect Configurable;2022-03-28;2022-03-28;true;infomediaries;Ball Cyprus Legacy;GENERAL_AGREEMENT
4;true;true;interface facilitate navigating;2022-03-27;2022-03-27;false;Licensed Towels Coordinator;virtual;CLOSED
5;false;false;deliverables relationships;2022-03-27;2022-03-27;true;overriding Factors;Director Utah Buckinghamshire;OPEN
6;true;false;sky;2022-03-28;2022-03-28;true;middleware program;Implementation;GENERAL_AGREEMENT
7;false;false;microchip;2022-03-27;2022-03-27;true;Wooden;withdrawal Account RSS;CLOSED
8;false;false;Ramp;2022-03-28;2022-03-28;true;networks;Producer action-items Personal;CLOSED
9;false;false;Nuevo;2022-03-28;2022-03-28;false;Cotton Buckinghamshire;flexibility optical encompassing;OPEN
10;false;true;Switchable;2022-03-27;2022-03-28;true;encryption invoice Customer;Frozen;OPEN
