id;ancestor_item_identifier;code;item_identifier;name;priority;virtual_product_id
1;leverage Bacon;Keyboard;Games Associate;Guilder;10675;1
2;access parse;website Ergonomic Metal;harness Awesome Towels;improvement;10835;2
3;Wooden COM Generic;Soft transmit Wyoming;Configurable Illinois;Applications XML Division;95334;3
4;Garden Handcrafted;Licensed Assistant context-sensitive;wireless end-to-end encompassing;withdrawal Canyon;95655;4
5;Clothing;Borders Small deliver;Senior;Unbranded Grocery;36852;5
6;Industrial Sausages responsive;SSL Serbian;Shilling;orange open-source Manager;50839;6
7;quantify Home;Jordan;Front-line deposit;SAS Liaison;93729;7
8;invoice background Card;Chad;Incredible;copy indexing;83839;8
9;Kentucky Books;enable infrastructures;application index;SCSI;92414;9
10;e-tailers;Fantastic;transmitter parsing Small;SDD coherent;41155;10
