id;ancestor_item_identifier;item_identifier;line_available;line_code;virtual_product_id
1;Dynamic Avon;index ubiquitous;false;best-of-breed Moldova moderator;1
2;Islands applications lavender;invoice;false;approach;2
3;Tuna Manager front-end;Bedfordshire Rapid leverage;false;Money;3
4;value-added internet;XSS Iceland bandwidth-monitored;false;New invoice Designer;4
5;Shirt Borders;Arabia withdrawal transparent;true;Clothing leverage firewall;5
6;navigate;Avon;true;lavender recontextualize Gardens;6
7;parsing Maine Awesome;24 Web;true;Handmade Borders;7
8;Rustic Innovative Timor-Leste;virtual;true;Carolina utilize Generic;8
9;object-oriented Cotton Usability;Shirt;false;Account Unbranded;9
10;flexibility;Garden primary Mouse;true;Architect Sleek bottom-line;10
