id;ancestor_item_identifier;item_identifier;organization;producer_code;virtual_product_id
1;generate Quality;front-end;Developer Cambridgeshire Road;auxiliary Oklahoma Kids;1
2;bandwidth;Regional deposit;Sleek;deploy;2
3;analyzing;Brand;loyalty;Wyoming Loan bus;3
4;utilize invoice;ability compressing Accounts;Idaho Shirt;Manager;4
5;4th Avon Stravenue;Planner Buckinghamshire;silver Baby Kingdom;Chief Cotton;5
6;up;Open-source;didactic Account;microchip;6
7;mobile metrics Plastic;Ball;USB bandwidth Regional;Granite lime Money;7
8;reboot Wooden;matrices Games bypassing;Bolivia Administrator;solid Louisiana;8
9;Baby Secured quantifying;National Planner maximize;deposit Gloves;Rupee Ergonomic;9
10;Market magenta;Expanded Designer;parsing world-class;Iowa;10
